Matrix Size (nxn),Data Size (bytes),Latency (us),Bandwidth (MiB/s)
2,32,1909.643000,0.000000
4,128,1638.337000,0.000000
8,512,1973.344000,0.000000
16,2048,3790.386000,0.000000
32,8192,4075.292000,0.000000
64,32768,4585.103000,0.000000
128,131072,15050.040000,0.000000
256,524288,90725.349000,0.000000
512,2097152,1117917.848000,1.789040
1024,8388608,10835373.506000,0.738322
