Matrix Size (nxn),Data Size (bytes),Latency (us),Bandwidth (MiB/s)
2,32,13930.871000,0.000000
4,96,2273.560000,0.000000
8,384,1669.645000,0.000000
16,1536,2475.966000,0.000000
32,6144,4571.722000,0.000000
64,24576,5292.141000,0.000000
128,98304,12862.742000,0.000000
256,393216,60884.523000,0.000000
512,1572864,597016.912000,1.674994
1024,6291456,5526345.206000,1.085709
