Matrix Size (nxn),Data Size (bytes),Latency (us),Bandwidth (MiB/s)
2,32,8931.849000,0.000000
4,96,4995.372000,0.000000
8,384,2174.088000,0.000000
16,1536,1862.389000,0.000000
32,6144,4061.577000,0.000000
64,24576,12928.927000,0.000000
128,98304,15552.012000,0.000000
256,393216,90832.987000,0.000000
512,1572864,776372.916000,1.288041
1024,6291456,5779930.873000,1.038075
