Matrix Size (nxn),Data Size (bytes),Latency (us),Bandwidth (MiB/s)
2,32,2238.088000,0.000000
4,128,1453.092000,0.000000
8,512,1101.294000,0.000000
16,2048,2485.187000,0.000000
32,8192,1611.791000,0.000000
64,32768,3888.178000,0.000000
128,131072,14404.121000,0.000000
256,524288,88918.316000,0.000000
512,2097152,790722.801000,2.529331
1024,8388608,5802190.581000,1.378790
