Matrix Size (nxn),Data Size (bytes),Latency (us),Bandwidth (MiB/s)
2,32,369.108000,0.000000
4,128,274.506000,0.000000
8,512,394.609000,0.000000
16,2048,389.209000,0.000000
32,8192,963.022000,0.000000
64,32768,3589.382000,0.000000
128,131072,8474.395000,0.000000
256,524288,51309.060000,0.000000
512,2097152,587762.002000,3.402738
1024,8388608,5344281.033000,1.496927
